,videoId,authorChannelId,authorDisplayName,textDisplay,textOriginal,publishedAt,updatedAt,likeCount,canReply,totalReplyCount
0,WutWZN8MWHk,UCpAN8JvAV25QBWbW0AbBRkw,RustMojo,"Ive been using ChatGPT as a doctor. Whenever me or someone in my family gets sick, we ask the ChatGPT what it could be and how to cure it. Listing symptoms and telling ChatGPT whats been done and whats not. I get so much better answers than from a doctor.","Ive been using ChatGPT as a doctor. Whenever me or someone in my family gets sick, we ask the ChatGPT what it could be and how to cure it. Listing symptoms and telling ChatGPT whats been done and whats not. I get so much better answers than from a doctor.",2023-04-25T23:37:11Z,2023-04-25T23:37:11Z,1,True,0
1,WutWZN8MWHk,UC3FPJWBDwlwbmT0RhZQGiqQ,Brenton Iverson,Watch this change in 2 years😢,Watch this change in 2 years😢,2023-04-22T05:02:42Z,2023-04-22T05:02:42Z,0,True,0
2,WutWZN8MWHk,UCv7gUOY6BRgulGoyw6eJvEQ,ENTERTAINMENT,Should i start coding i completed my class 10 in march i already know html and css started python i am scared of chat gpt pls reply beacuse i think i have time know i need suggestion,Should i start coding i completed my class 10 in march i already know html and css started python i am scared of chat gpt pls reply beacuse i think i have time know i need suggestion,2023-04-17T04:05:56Z,2023-04-17T04:05:56Z,0,True,2
3,WutWZN8MWHk,UC3YPGbkmqkgKDRc8MvTyr1Q,P S,"I accepted rules on discord however I stil can't get access to the server, what should I do??","I accepted rules on discord however I stil can't get access to the server, what should I do??",2023-04-15T18:09:03Z,2023-04-15T18:09:03Z,0,True,0
4,WutWZN8MWHk,UCButj-Tyrgt_OB11DA0xzzQ,brebuoch,"The problem is you (and many others, not singling you out), cannot say ""educate yourself"", this is so completely tone-deaf. We are talking about people's livelihoods and families, and children are involved here. People who studied and practiced all their lives for a job that is turned irrelevant in a matter of days. People displaced by new technology CANNOT be reprogrammed for a new job in 24 hours. The real world just does not work that way. It's been happening since the dawn of time, so obsolescence is not the problem, the problem is the speed in which obsolescence may now come. Telling people to use these new tools to their advantage, while I know it's well intentioned, it's just totally unrealistic for people who barely could fumble through basic applications of the computer age.","The problem is you (and many others, not singling you out), cannot say ""educate yourself"", this is so completely tone-deaf. We are talking about people's livelihoods and families, and children are involved here. People who studied and practiced all their lives for a job that is turned irrelevant in a matter of days. People displaced by new technology CANNOT be reprogrammed for a new job in 24 hours. The real world just does not work that way. It's been happening since the dawn of time, so obsolescence is not the problem, the problem is the speed in which obsolescence may now come. Telling people to use these new tools to their advantage, while I know it's well intentioned, it's just totally unrealistic for people who barely could fumble through basic applications of the computer age.",2023-04-14T19:31:21Z,2023-04-14T19:31:21Z,0,True,1
5,WutWZN8MWHk,UCvER1oXoWeGLDqLFkZpHm_A,J F,Chatgpt explained algebra to me so I could understand it then gave me problems to solve. No teacher was ever able to explain algebra to me so that it made sense. This thing did! Amazing. Just amazing,Chatgpt explained algebra to me so I could understand it then gave me problems to solve. No teacher was ever able to explain algebra to me so that it made sense. This thing did! Amazing. Just amazing,2023-04-13T02:09:38Z,2023-04-13T02:09:38Z,0,True,0
6,WutWZN8MWHk,UCiMTceCnNGbV1bRWBNlELoQ,Bater Janjatah,"Replacing human intelligence with an app won't be soon; due to many reasons: the app uses code from a codebase that already had been replaced with a professional codebase: for example, flutter replaced the webpage design canvas that you showed us in your example. also there is the issue of that violates privacy and copyrights laws","Replacing human intelligence with an app won't be soon; due to many reasons: the app uses code from a codebase that already had been replaced with a professional codebase: for example, flutter replaced the webpage design canvas that you showed us in your example. also there is the issue of that violates privacy and copyrights laws",2023-04-11T06:00:59Z,2023-04-11T06:00:59Z,0,True,0
7,WutWZN8MWHk,UCYcfK0MKVqNiLjXMwirhHWw,yb RUBIN,Thx Igor!,Thx Igor!,2023-04-08T21:02:27Z,2023-04-08T21:02:27Z,0,True,0
8,WutWZN8MWHk,UCQA2r7w15_ne_57qBQyq-4w,hi ji,"How do I say that
I'm just recently started learning about coding. want to be app dev or game dev, and I have to go back to highschool.
So it's about 5 or 6 years 'till I get a C.S degree or dev job. as we know AI ' ll grow over in next closely year (I mean It can't take over all dev or coding position but it'll absolutely   replace and reduce most of the job opportunites in tech industry and other fields.)
 So should I keep going or just dive into other fields? I don't want to waste a bunch of years for just nothing and I have financial goal.
I feel lost in these weeks.
sorry bad English😢 aslo a dumb in math:"")","How do I say that
I'm just recently started learning about coding. want to be app dev or game dev, and I have to go back to highschool.
So it's about 5 or 6 years 'till I get a C.S degree or dev job. as we know AI ' ll grow over in next closely year (I mean It can't take over all dev or coding position but it'll absolutely   replace and reduce most of the job opportunites in tech industry and other fields.)
 So should I keep going or just dive into other fields? I don't want to waste a bunch of years for just nothing and I have financial goal.
I feel lost in these weeks.
sorry bad English😢 aslo a dumb in math:"")",2023-04-08T07:55:54Z,2023-04-08T07:55:54Z,0,True,0
9,WutWZN8MWHk,UCM77xREbbk9QKfzsozUcM2g,DarthLetalis,LMAO Learn to weld.,LMAO Learn to weld.,2023-04-07T22:38:54Z,2023-04-07T22:38:54Z,0,True,0
