,videoId,authorChannelId,authorDisplayName,textDisplay,textOriginal,publishedAt,updatedAt,likeCount,canReply,totalReplyCount
0,8y13sSGh9lc,UC78iA_qRBFMZDkLcZ3Hp0Yw,Eduardo Rodrigues Vianna,"Some days ago I asked chatGPT something as for a hard Latin language book publishing work. The answers given by chatGPT were full of STRONG mistakes. There were very good statements as for the usage of LaTeX in general, but not about specific things as Portuguese and Spanish hyphenation in order to guarantee the integrity of the book page. The chatGPT's answers were, most of them, very useful, but it was necessary a revision by myself.","Some days ago I asked chatGPT something as for a hard Latin language book publishing work. The answers given by chatGPT were full of STRONG mistakes. There were very good statements as for the usage of LaTeX in general, but not about specific things as Portuguese and Spanish hyphenation in order to guarantee the integrity of the book page. The chatGPT's answers were, most of them, very useful, but it was necessary a revision by myself.",2023-04-30T13:07:41Z,2023-04-30T13:12:18Z,1,True,0
1,8y13sSGh9lc,UCPMHjEZNZKl6Ngx_eqNWKKA,Uncommon User,"someone still has to maintain those robots, someone has to maintain the code, A.I is not capable of common judgement and critical thinking/ A.I is in service of the end-user, which are people. Case in point, the whole point of creating something is so that it may be utilized. By who? By people. Who makes it? People, aka programmers.","someone still has to maintain those robots, someone has to maintain the code, A.I is not capable of common judgement and critical thinking/ A.I is in service of the end-user, which are people. Case in point, the whole point of creating something is so that it may be utilized. By who? By people. Who makes it? People, aka programmers.",2023-04-28T19:53:20Z,2023-04-28T19:53:20Z,0,True,0
2,8y13sSGh9lc,UCvxtcOmoki9Bai7vRwN6duw,CacaPichi,"It’ll definitely cost junior jobs.  But it won’t take a senior developer’s job, not by a longshot","It’ll definitely cost junior jobs.  But it won’t take a senior developer’s job, not by a longshot",2023-04-28T04:57:36Z,2023-04-28T04:57:36Z,1,True,0
3,8y13sSGh9lc,UCGu8x-g-jn7eGz3UUuR95KQ,stewtech,Dorian are you using Adobe XD or another software for UI/UX?,Dorian are you using Adobe XD or another software for UI/UX?,2023-04-27T22:30:48Z,2023-04-27T22:30:48Z,0,True,0
4,8y13sSGh9lc,UCa2yDdNrwEmki35svP5fpzQ,"I, Lemaire","I just had an epiphany--more companies will start scraping the code of websites and web app to create their own generative coding models.  Companies will be working on creating the best models to replace developers.  

That being said, I still believe it is best to learn computer science.  It is better to be on the side of automator--not the automated.","I just had an epiphany--more companies will start scraping the code of websites and web app to create their own generative coding models.  Companies will be working on creating the best models to replace developers.  

That being said, I still believe it is best to learn computer science.  It is better to be on the side of automator--not the automated.",2023-04-27T03:24:12Z,2023-04-27T03:24:12Z,1,True,0
5,8y13sSGh9lc,UCv6Y9YbDlUpVUhGvcIQaqkg,Business Wolf,"your channel is an amazing case study as to why you NEVER break the 4th wall, EVER","your channel is an amazing case study as to why you NEVER break the 4th wall, EVER",2023-04-25T20:40:45Z,2023-04-25T20:40:45Z,1,True,0
6,8y13sSGh9lc,UC13fc9VVFa8GCSuKB7PDa_w,FVHRENHEIT,"I was hyped about learning to code and changing careers, but now I don't know what to think.","I was hyped about learning to code and changing careers, but now I don't know what to think.",2023-04-23T22:26:11Z,2023-04-23T22:26:11Z,1,True,0
7,8y13sSGh9lc,UC0JZM0pc94Fz1z17m7SXKHw,Demonwater Demonwater,It's a cool new tool,It's a cool new tool,2023-04-22T15:18:55Z,2023-04-22T15:18:55Z,0,True,0
8,8y13sSGh9lc,UC0JZM0pc94Fz1z17m7SXKHw,Demonwater Demonwater,It's gonna make me rich even if I act like a dumbass,It's gonna make me rich even if I act like a dumbass,2023-04-22T15:18:01Z,2023-04-22T15:18:01Z,0,True,0
9,8y13sSGh9lc,UCfa1aGg-VsS2cGeURP7POCw,Siya Ram,"Google & Read the article:
*Bill Gates: People Don't Realize What’s Coming*

The job market is in some real shaking and baking, and it seems nobody seems to have a recipie to handle it!","Google & Read the article:
*Bill Gates: People Don't Realize What’s Coming*

The job market is in some real shaking and baking, and it seems nobody seems to have a recipie to handle it!",2023-04-22T04:24:31Z,2023-04-22T04:24:31Z,0,True,0
10,8y13sSGh9lc,UCxX1WAeFRSuo914OwWnbzGg,blackice1455,wow that pagerduty alarm gave me anxiety!,wow that pagerduty alarm gave me anxiety!,2023-04-22T04:11:21Z,2023-04-22T04:11:21Z,0,True,0
11,8y13sSGh9lc,UCklQeazsXpXNucLvhHsL2OA,business user,where is the full interview?,where is the full interview?,2023-04-21T09:21:37Z,2023-04-21T09:21:37Z,0,True,0
12,8y13sSGh9lc,UC_78k6cabnjp7Yin7aqrMwA,Darque Ronin,"I think the ""exponential"" growth is what most people miss! I heard an ""Expert"" state that A.I. is already creating versions of itself (A.I. children lol) that aren't bound by some of its programming, and that it's learning outside of it's coded parameters! I think losing jobs to this thing, is the least of our concerns...but you know how I think lol!","I think the ""exponential"" growth is what most people miss! I heard an ""Expert"" state that A.I. is already creating versions of itself (A.I. children lol) that aren't bound by some of its programming, and that it's learning outside of it's coded parameters! I think losing jobs to this thing, is the least of our concerns...but you know how I think lol!",2023-04-21T06:49:12Z,2023-04-21T06:49:12Z,4,True,0
13,8y13sSGh9lc,UCzrZ8Iffn8M8z1mYlA-kZdg,Eduardo Silva,"Yes, will...","Yes, will...",2023-04-21T02:50:13Z,2023-04-21T02:50:13Z,0,True,0
14,8y13sSGh9lc,UCxrGij3DDw52lBVP25xJQkg,Ben Informato,"People once said the automatic car wash would be the demise of hand washing. Experienced automotive detailers are in higher demand than ever before. AI is a tool, it won't eliminate every job.","People once said the automatic car wash would be the demise of hand washing. Experienced automotive detailers are in higher demand than ever before. AI is a tool, it won't eliminate every job.",2023-04-21T01:10:21Z,2023-04-21T01:10:21Z,3,True,2
15,8y13sSGh9lc,UCuwK_wnw4d3scpCKy4WQyqQ,jonah grott,"to be honest ive given up on my dream job, why even try to make a career out of art when I'm going to get replaced anyways...","to be honest ive given up on my dream job, why even try to make a career out of art when I'm going to get replaced anyways...",2023-04-21T00:51:11Z,2023-04-21T00:51:11Z,0,True,0
16,8y13sSGh9lc,UCqLcfOiB3_2Kx0KGVBTBLJA,It's Me,"My pro tip:
stop what you are doing, grab ur money, travel the world for 2 years, enjoy your time,
then re-enter a society where everyone’s job has been replaced, robots will bring you food, and instead of working, your 2-year vacation gets extended indefinitely","My pro tip:
stop what you are doing, grab ur money, travel the world for 2 years, enjoy your time,
then re-enter a society where everyone’s job has been replaced, robots will bring you food, and instead of working, your 2-year vacation gets extended indefinitely",2023-04-21T00:15:08Z,2023-04-21T00:15:08Z,0,True,0
17,8y13sSGh9lc,UC0jRoXQ0bbXLvyj76pdb1KA,Drake Gao,Skynet in the future is smiling.,Skynet in the future is smiling.,2023-04-20T21:05:37Z,2023-04-20T21:05:37Z,2,True,1
18,8y13sSGh9lc,UCPny6ZqVCNoc4RBCxM9Ey1Q,Floofyness,It's replacing all art forms currently so idk how I feel bout that.. Also seems to soon be replacing models and news anchors as I heard. I think it could be a good thing to a degree but a fear at the same time. But thinking they won't eagerly replace employees  is silly. But I am eager to see the future and have hope things go down a good path.,It's replacing all art forms currently so idk how I feel bout that.. Also seems to soon be replacing models and news anchors as I heard. I think it could be a good thing to a degree but a fear at the same time. But thinking they won't eagerly replace employees  is silly. But I am eager to see the future and have hope things go down a good path.,2023-04-20T20:02:42Z,2023-04-20T20:08:18Z,1,True,0
19,8y13sSGh9lc,UC0XgqUOkOvhBhqUt4p4E0Uw,David Hudson,We need to set up Universal Basic Income.,We need to set up Universal Basic Income.,2023-04-20T19:02:47Z,2023-04-20T19:02:47Z,0,True,0
20,8y13sSGh9lc,UCBrRwllu65em1La1WdQV31w,David Heller,"While AI can assist in the translation of UI design to code, it is not currently capable of doing it all on its own. The translation process often involves subjective decision-making and creative problem-solving, which currently requires human intervention. Additionally, there are often other factors involved in the development process, such as testing, debugging, and deployment, which currently require human expertise. However, as AI continues to develop and improve, it may become more capable of taking on more complex tasks in the UI design and development process.","While AI can assist in the translation of UI design to code, it is not currently capable of doing it all on its own. The translation process often involves subjective decision-making and creative problem-solving, which currently requires human intervention. Additionally, there are often other factors involved in the development process, such as testing, debugging, and deployment, which currently require human expertise. However, as AI continues to develop and improve, it may become more capable of taking on more complex tasks in the UI design and development process.",2023-04-20T17:43:34Z,2023-04-20T17:43:34Z,1,True,0
21,8y13sSGh9lc,UCBrRwllu65em1La1WdQV31w,David Heller,"It's possible that AGI (Artificial General Intelligence) could be developed to perform tasks such as translating UI designs into code. However, at this time, AGI has not yet been achieved and it remains an area of active research and development. AGI would require a level of intelligence and understanding that is on par with human intelligence, including the ability to reason, learn, and adapt to new situations.","It's possible that AGI (Artificial General Intelligence) could be developed to perform tasks such as translating UI designs into code. However, at this time, AGI has not yet been achieved and it remains an area of active research and development. AGI would require a level of intelligence and understanding that is on par with human intelligence, including the ability to reason, learn, and adapt to new situations.",2023-04-20T17:42:42Z,2023-04-20T17:42:42Z,1,True,1
22,8y13sSGh9lc,UC9dftdZd_z9EhTMPNvSuXPQ,clusterstage,"only if your job is stupid enough it can be automated.
If you'r job is irrational, its unlikely to be replaced by a rational A.I","only if your job is stupid enough it can be automated.
If you'r job is irrational, its unlikely to be replaced by a rational A.I",2023-04-20T16:46:42Z,2023-04-20T16:46:42Z,5,True,0
23,8y13sSGh9lc,UCLf1DBvbny-AyJrV_LzVkSg,M Van Damm,"Unless chat GPT has access to a company’s proprietary data set, the AI is really just a parlor trick and a content generator boogie man.","Unless chat GPT has access to a company’s proprietary data set, the AI is really just a parlor trick and a content generator boogie man.",2023-04-20T16:32:15Z,2023-04-20T16:32:15Z,11,True,2
24,8y13sSGh9lc,UCq5efm1SkZlGPzD5QJ5a2nA,Run,"The other man gets it but Dorian does not and I almost think it's intentional.
This whole thing goes to show that people are really terrible at understanding progression. 

Talking about how appreciative he would be if he had AI to help him learn to code 6 years ago. If you had ChatGPT 6 years ago, today you won't have a career.","The other man gets it but Dorian does not and I almost think it's intentional.
This whole thing goes to show that people are really terrible at understanding progression. 

Talking about how appreciative he would be if he had AI to help him learn to code 6 years ago. If you had ChatGPT 6 years ago, today you won't have a career.",2023-04-20T15:57:19Z,2023-04-20T15:57:19Z,3,True,4
25,8y13sSGh9lc,UCqBF3kGqfoyCbjqq3rL-a-w,Kroban,"6:25 This is so true, its anecdotical but, its been 6 months since I started learning how to code, and these 2 last months gpt3 has been incredibly useful for me, atleast to solve any doubt I have. Its pretty much a mentor, or a ""google on roids"", that can explain any doubt or problem you have in a matter of seconds, in a simple or complex way, rather than spending probably hours googling to find a decent answer.

But, im not gonna lie, im scared the shit with the fact im studying something that in the worst case scenario could end up being useless in a matter of years. Or that could make junior-level jobs harder to get because IA is making things way easier.","6:25 This is so true, its anecdotical but, its been 6 months since I started learning how to code, and these 2 last months gpt3 has been incredibly useful for me, atleast to solve any doubt I have. Its pretty much a mentor, or a ""google on roids"", that can explain any doubt or problem you have in a matter of seconds, in a simple or complex way, rather than spending probably hours googling to find a decent answer.

But, im not gonna lie, im scared the shit with the fact im studying something that in the worst case scenario could end up being useless in a matter of years. Or that could make junior-level jobs harder to get because IA is making things way easier.",2023-04-20T15:55:07Z,2023-04-20T15:55:07Z,6,True,0
26,8y13sSGh9lc,UCZNZxito66wtv9w8hK7u7iw,Dhanoosh K,"dorian you looks nervous😢
 is everything ok dude?
 are you fine?","dorian you looks nervous😢
 is everything ok dude?
 are you fine?",2023-04-20T15:48:31Z,2023-04-20T15:48:31Z,8,True,0
