,videoId,authorChannelId,authorDisplayName,textDisplay,textOriginal,publishedAt,updatedAt,likeCount,canReply,totalReplyCount
0,7PuNTPVkSQM,UC8p1vwvWtl6T73JiExfWs1g,CBS News,Click here for more news from MoneyWatch: https://youtube.com/playlist?list=PLEb3ThbkPrFYgDkeTDyUZHDFkNV1hErBj,Click here for more news from MoneyWatch: https://youtube.com/playlist?list=PLEb3ThbkPrFYgDkeTDyUZHDFkNV1hErBj,2023-02-01T16:35:10Z,2023-02-01T16:35:10Z,0,True,1
1,7PuNTPVkSQM,UCNbuxnSu1ZEQ2ZgL-o4okDA,Bruno Earth,Reminds me of what happen in Detroit how the motor industry replace humans with machines which made productivity faster and cheaper for the companies and look what Detroit city has become. I’m afraid history is going to repeat itself smh.,Reminds me of what happen in Detroit how the motor industry replace humans with machines which made productivity faster and cheaper for the companies and look what Detroit city has become. I’m afraid history is going to repeat itself smh.,2023-04-26T07:38:48Z,2023-04-26T07:38:48Z,0,True,0
2,7PuNTPVkSQM,UCoxiwhB88QhDc7QknpLrT0Q,Felipe Branding,"Whatever the outcome is, this can’t be stopped or undone. Sadly we will have to accept this new technology and learn how to live with it.","Whatever the outcome is, this can’t be stopped or undone. Sadly we will have to accept this new technology and learn how to live with it.",2023-04-02T18:57:52Z,2023-04-02T18:57:52Z,0,True,0
3,7PuNTPVkSQM,UCCLmX7w2ZUTbeyM6XyThduw,Marc Duchamp,These new reporters will be replaced by perfect AI avatars and AI audience will be watching,These new reporters will be replaced by perfect AI avatars and AI audience will be watching,2023-03-24T17:37:14Z,2023-03-24T17:37:14Z,2,True,0
4,7PuNTPVkSQM,UCQPnqHzcSrEFwz_Mi3bZUSw,Daniel Helle,They took er jerbs!,They took er jerbs!,2023-03-21T22:25:38Z,2023-03-21T22:25:38Z,0,True,0
5,7PuNTPVkSQM,UC5fHij113WsDlR7FqtotKYQ,RG P,"People talk about customer service jobs, but creative jobs will be taken away.  Even jobs such as being a lawyer will be threatened as AI will be able to work much faster and find cases/old laws and examples much faster than a human.","People talk about customer service jobs, but creative jobs will be taken away.  Even jobs such as being a lawyer will be threatened as AI will be able to work much faster and find cases/old laws and examples much faster than a human.",2023-02-28T20:54:35Z,2023-02-28T20:54:35Z,1,True,0
6,7PuNTPVkSQM,UCI3Y54uF4TyGWXOMf7IYmlQ,Gino Covarrubias,What u think happens to the manufacturig jobs in the Midwest there's no more jobs there,What u think happens to the manufacturig jobs in the Midwest there's no more jobs there,2023-02-12T03:43:08Z,2023-02-12T03:43:08Z,0,True,0
7,7PuNTPVkSQM,UC1cfnUdaPy7g6jNxELSlOdQ,Rebal,INSTEAD OF SAYING WERE GONING LOSSE OUR JOBS AND BE HUNGRY IN TGE STREETS I PREFER TO SAY NO OPPERTINITIES TI SEE AND GET SUNNY DAYS TO GET SUN BURNED AND DEHYDRATED AND SIT OUTSIDE IN NICE COOL WEATHER AT NIGHT AND EXPERIENCE LIKE SLEEP ON TGE GROUMD AND GET INTRODUCED TO ROB THE HOMLESS DRUGGY READY TO SELL YOU SOME HORRIBLE STUFF,INSTEAD OF SAYING WERE GONING LOSSE OUR JOBS AND BE HUNGRY IN TGE STREETS I PREFER TO SAY NO OPPERTINITIES TI SEE AND GET SUNNY DAYS TO GET SUN BURNED AND DEHYDRATED AND SIT OUTSIDE IN NICE COOL WEATHER AT NIGHT AND EXPERIENCE LIKE SLEEP ON TGE GROUMD AND GET INTRODUCED TO ROB THE HOMLESS DRUGGY READY TO SELL YOU SOME HORRIBLE STUFF,2023-02-11T17:30:03Z,2023-02-11T17:30:03Z,0,True,0
8,7PuNTPVkSQM,UCLxeon1oBzDQ8adikkq8H3w,Benjamin Ross Investor,Chat gpt will take many jobs period. There is no way around it. Some form of UBI payments will be in our future. There will be nothing a human can do better than AI,Chat gpt will take many jobs period. There is no way around it. Some form of UBI payments will be in our future. There will be nothing a human can do better than AI,2023-02-08T20:20:56Z,2023-02-08T20:20:56Z,1,True,0
9,7PuNTPVkSQM,UCobTSpKRiRnhyQDx9AslkuA,RUI STUART,"This news is the same as the one that states that vehicles that use fossil fuels will not be able to circulate after 2030... I'll pay to see this happen... I won't even waste time writing a list of problems that these people who debit pure verbiage because they live ""on another"" planet, completely alienated from the reality of a World where the overwhelming majority of Humanity lives on 1 dollar a day.","This news is the same as the one that states that vehicles that use fossil fuels will not be able to circulate after 2030... I'll pay to see this happen... I won't even waste time writing a list of problems that these people who debit pure verbiage because they live ""on another"" planet, completely alienated from the reality of a World where the overwhelming majority of Humanity lives on 1 dollar a day.",2023-02-08T12:02:47Z,2023-02-08T12:02:47Z,0,True,0
