,videoId,authorChannelId,authorDisplayName,textDisplay,textOriginal,publishedAt,updatedAt,likeCount,canReply,totalReplyCount
0,1WPFLWEVGAI,UCsfm_WmBQBlVrDT0VmI4cmQ,sung jane,能者多勞,能者多勞,2023-05-02T09:41:34Z,2023-05-02T09:41:34Z,0,True,0
1,1WPFLWEVGAI,UCDag_rPfSMjY9Op7Uul6E7g,AstreinW,"Almost any conversation about AI right now:

""AI won't take MY job... at least in the foreseeable future... But YOUR job, oh boy duddy, youre ducked. Guess you die!"" Then AI takes both jobs. No UBI. You can eat each other.","Almost any conversation about AI right now:

""AI won't take MY job... at least in the foreseeable future... But YOUR job, oh boy duddy, youre ducked. Guess you die!"" Then AI takes both jobs. No UBI. You can eat each other.",2023-05-02T00:52:14Z,2023-05-02T00:52:14Z,0,True,0
2,1WPFLWEVGAI,UCuL1KiACT3_SqyoegmSW-jw,Beelzebub,I've been asking ChatGPT dozens of questions. What I get are summarized WIKI articles.  It is a total fraud.,I've been asking ChatGPT dozens of questions. What I get are summarized WIKI articles.  It is a total fraud.,2023-05-02T00:35:26Z,2023-05-02T00:35:26Z,0,True,0
3,1WPFLWEVGAI,UCk8d7t5Hek37PDKRhdlIZ0w,Jesse,Screw the russian shills cnbc,Screw the russian shills cnbc,2023-05-01T23:31:02Z,2023-05-01T23:31:02Z,0,True,0
4,1WPFLWEVGAI,UCJwwQ_2mbTyRCObuUnvhJwg,Su S San,I know for sure AI can't take my job coz I am crisis counselor and people need real person to support in the time of crisis.,I know for sure AI can't take my job coz I am crisis counselor and people need real person to support in the time of crisis.,2023-05-01T21:54:50Z,2023-05-01T21:54:50Z,0,True,0
5,1WPFLWEVGAI,UCeasgVzCpTFTHUfABufDMEQ,Mariana Diogo,Year-over-year inflation stood at 6.5% in December 2022—the lowest that figure has been in more than a year. Inflation was in line with what economists expected and gave many of them a reason to believe that the peak of inflation may be behind us. I have approximately $150k stagnant in my port_folio that needs growth. What is the best way to take advantage of this downturn?,Year-over-year inflation stood at 6.5% in December 2022—the lowest that figure has been in more than a year. Inflation was in line with what economists expected and gave many of them a reason to believe that the peak of inflation may be behind us. I have approximately $150k stagnant in my port_folio that needs growth. What is the best way to take advantage of this downturn?,2023-05-01T14:29:08Z,2023-05-01T14:29:08Z,4,True,2
6,1WPFLWEVGAI,UCJ9HKigAhqo33wFXyZLYSXg,norman musimwa,"I had a debate about ChatGpt and AI with my wife the other day..... my view.... l believe we are a tardbit overplaying the impact of AI on some aspects of our lives. DON'T GET ME WRONG, AI is a very big deal. I however feel human's relevance will always be #1.","I had a debate about ChatGpt and AI with my wife the other day..... my view.... l believe we are a tardbit overplaying the impact of AI on some aspects of our lives. DON'T GET ME WRONG, AI is a very big deal. I however feel human's relevance will always be #1.",2023-05-01T10:51:25Z,2023-05-01T10:51:25Z,1,True,0
7,1WPFLWEVGAI,UCuyOaNE7dYnfi3CehCQpdIg,Gabo,Short answer: yes,Short answer: yes,2023-05-01T08:37:02Z,2023-05-01T08:37:02Z,0,True,0
8,1WPFLWEVGAI,UCUunvC2TcRe2mpbUeSIzuMQ,No One Star,"I am not replaceable but I am simultaneously meaningless in the grand scheme. So is every other sentient creature. So... ultimately, it doesn't matter. :)","I am not replaceable but I am simultaneously meaningless in the grand scheme. So is every other sentient creature. So... ultimately, it doesn't matter. :)",2023-05-01T01:44:36Z,2023-05-01T01:44:36Z,1,True,0
9,1WPFLWEVGAI,UC-OcDoWbKa0rFT4RtZvQzJw,RetroSteve,SKYNET IS TAKING OVER.,SKYNET IS TAKING OVER.,2023-04-30T23:17:49Z,2023-04-30T23:17:49Z,1,True,0
10,1WPFLWEVGAI,UC1VlpxzdPdrGrJ7J21N1IkQ,Adam Boey,"As a physicist who has used chat AI for research, I can say that I am extremely skeptical about the benefits or viability of full replacement. It seems like these tools learned the processes of analyzing data as well as humans do, but are more susceptible to giving greater weight to wrong information. For example, I once asked for paper references from chatGPT and was given just a flurry of incorrect or nonexistent titles. This problem compounds if asked to cite itself. Therefore I believe the relationship between AI and humans must remain symbiotic: we need machines to cut repetitive tasks and machines need human experiences to reweigh increasingly complex and dynamic problems.","As a physicist who has used chat AI for research, I can say that I am extremely skeptical about the benefits or viability of full replacement. It seems like these tools learned the processes of analyzing data as well as humans do, but are more susceptible to giving greater weight to wrong information. For example, I once asked for paper references from chatGPT and was given just a flurry of incorrect or nonexistent titles. This problem compounds if asked to cite itself. Therefore I believe the relationship between AI and humans must remain symbiotic: we need machines to cut repetitive tasks and machines need human experiences to reweigh increasingly complex and dynamic problems.",2023-04-30T20:03:57Z,2023-04-30T20:03:57Z,6,True,1
11,1WPFLWEVGAI,UC5SSTTYZxFcFH2G2XHtDJ-w,Heinous Anus,"Those that wait, get ate.","Those that wait, get ate.",2023-04-30T17:41:07Z,2023-04-30T17:41:07Z,1,True,0
12,1WPFLWEVGAI,UCpWOa1KfxywBOwTxpI5mmPQ,Enosh Svoray,CNBC your news coverages/ short documentaries are dope af! Thank you!,CNBC your news coverages/ short documentaries are dope af! Thank you!,2023-04-30T16:13:38Z,2023-04-30T16:13:38Z,2,True,0
13,1WPFLWEVGAI,UCsXy20ksKWOVn_UWYlkb3IA,Yogesh Singla,What is the source of 300 million jobs figure?,What is the source of 300 million jobs figure?,2023-04-30T15:50:54Z,2023-04-30T15:50:54Z,0,True,0
14,1WPFLWEVGAI,UCIOtbdbrhkf1NpZ_s9-X5kw,djtomoy,Not if it can't pleasure Chinese business men in the back of snooker clubs as well me!!!!,Not if it can't pleasure Chinese business men in the back of snooker clubs as well me!!!!,2023-04-30T12:55:08Z,2023-04-30T12:55:08Z,0,True,0
15,1WPFLWEVGAI,UCiUTQB6BVN2apwg81-oi3Yw,HARIHARASUDHAN S,I would happily take vacations throughout the year instead of a boring job,I would happily take vacations throughout the year instead of a boring job,2023-04-30T11:56:31Z,2023-04-30T11:56:31Z,0,True,1
16,1WPFLWEVGAI,UCblH82IgDto9zcweYwgcJCw,RARA,Will humans become pets of A.I? Who knows? The way humans take care of their pets nowadays is inspiring.,Will humans become pets of A.I? Who knows? The way humans take care of their pets nowadays is inspiring.,2023-04-30T10:53:14Z,2023-04-30T10:53:14Z,0,True,0
17,1WPFLWEVGAI,UCgpCLVnHlTgzqcyEAgbcyhg,Alex Fescu,Take it quicker!!!! release me from my pain!,Take it quicker!!!! release me from my pain!,2023-04-30T07:22:54Z,2023-04-30T07:22:54Z,0,True,0
18,1WPFLWEVGAI,UCkno0ISrXmTUQTbDggJ3AcQ,Water Bottle,"It's naive to think we can replace the jobs lost due to AI. Stop comparing it to events from the past. This time will be completely different. Remember, AI is not replacing jobs: It's actually replacing the human brain. Meanwhile, robots/machines will replace our bodies. Humans will become entirely useless. Every industry will be affected all at the same time. This will be the biggest revolution in history, and I don't think it will be a good one.","It's naive to think we can replace the jobs lost due to AI. Stop comparing it to events from the past. This time will be completely different. Remember, AI is not replacing jobs: It's actually replacing the human brain. Meanwhile, robots/machines will replace our bodies. Humans will become entirely useless. Every industry will be affected all at the same time. This will be the biggest revolution in history, and I don't think it will be a good one.",2023-04-30T06:39:36Z,2023-04-30T07:17:05Z,0,True,0
19,1WPFLWEVGAI,UC2VwOqN6bWnWl7snyObLFbg,Luke Skywalker,Dey took 'er jerbs!!,Dey took 'er jerbs!!,2023-04-30T06:16:56Z,2023-04-30T06:16:56Z,0,True,0
20,1WPFLWEVGAI,UCvYCQWN9LEMkrrWRO92f3pw,Batman,Alternative Title: When Will ChatGPT Take Your Job ?,Alternative Title: When Will ChatGPT Take Your Job ?,2023-04-30T04:44:54Z,2023-04-30T04:44:54Z,1,True,0
21,1WPFLWEVGAI,UC9YatCak65dpYO2JvHB5oRw,D00m-Mantia,A good key takeaway is that we have to know how to wield this tool otherwise we'll just lose our job to someone else who does,A good key takeaway is that we have to know how to wield this tool otherwise we'll just lose our job to someone else who does,2023-04-30T04:22:36Z,2023-04-30T04:22:48Z,0,True,0
22,1WPFLWEVGAI,UCQMnU6L-nmOnEHrlxHPsm3w,cccodes,"I am more afraid of outsourcing, my employer already started talking about outsourcing in addition to layoffs, it can't be a coincidence, I work in biotech btw, am a Software Engineer","I am more afraid of outsourcing, my employer already started talking about outsourcing in addition to layoffs, it can't be a coincidence, I work in biotech btw, am a Software Engineer",2023-04-30T01:21:56Z,2023-04-30T01:21:56Z,0,True,0
23,1WPFLWEVGAI,UCqP1xYb5SXlx_KlYJISUpqw,Shad,Sometime a job give u purpose  in your life if that taken then u become obosolte,Sometime a job give u purpose  in your life if that taken then u become obosolte,2023-04-30T00:31:35Z,2023-04-30T00:31:35Z,0,True,0
24,1WPFLWEVGAI,UChvG2gj0jlpxBMxmbhAbrrg,Astro World,"you should be worried if your in the following position 

computer programmer 
accountant
coder
screen writer","you should be worried if your in the following position 

computer programmer 
accountant
coder
screen writer",2023-04-30T00:26:43Z,2023-04-30T00:26:43Z,0,True,0
25,1WPFLWEVGAI,UC3vjkao14-zS5WKvFNUkpHg,Danny,"Your health is really your wealth. So your real job is to survive and stay healthy for as long as you can. If AI can take this job away from you, great! Then you don’t have to worry about trying to survive and stay healthy because AI will do this work! You will be free to do whatever you like without worrying about how you will have to earn a living since AI will do it for you.","Your health is really your wealth. So your real job is to survive and stay healthy for as long as you can. If AI can take this job away from you, great! Then you don’t have to worry about trying to survive and stay healthy because AI will do this work! You will be free to do whatever you like without worrying about how you will have to earn a living since AI will do it for you.",2023-04-29T23:12:23Z,2023-04-29T23:12:23Z,3,True,0
26,1WPFLWEVGAI,UCEHjYglU5Q9yAp4nI2di5dw,Bob Tarmac,This will not end well! Can we PLEASE CeaseAi -GPT? Or at least consider PausingAi?,This will not end well! Can we PLEASE CeaseAi -GPT? Or at least consider PausingAi?,2023-04-29T18:49:10Z,2023-04-29T18:49:10Z,0,True,0
27,1WPFLWEVGAI,UCU5XWtsunDmUT5Y4CxcmMxg,Cosmic Harmony,"AI will advance the human mind to the point where we can finally be one of those other “Type (number) Civilizations”…Itll heavily ramp up our technological capabilities.  Booo yaaaaa, forget everything you know people!  Soon will we be making new discoveries to work with 😎","AI will advance the human mind to the point where we can finally be one of those other “Type (number) Civilizations”…Itll heavily ramp up our technological capabilities.  Booo yaaaaa, forget everything you know people!  Soon will we be making new discoveries to work with 😎",2023-04-29T18:17:49Z,2023-04-29T18:17:49Z,0,True,0
28,1WPFLWEVGAI,UCfzqjbG_cYRCnkNbpa46UQw,Doc McStuffins,I love that i am starting my senior year of college and AI is starting to advance so rapidly that the industry i am trying to break into will maybe get automated,I love that i am starting my senior year of college and AI is starting to advance so rapidly that the industry i am trying to break into will maybe get automated,2023-04-29T16:16:17Z,2023-04-29T16:16:17Z,1,True,1
29,1WPFLWEVGAI,UC53tXCEuQO3S221OMQC54GQ,Nina MR,I know of a company that fired a whole lot of their writers in my country and went with AI generated web content. They stayed with all of their editors and enhanced their SEO team.,I know of a company that fired a whole lot of their writers in my country and went with AI generated web content. They stayed with all of their editors and enhanced their SEO team.,2023-04-29T15:53:37Z,2023-04-29T15:53:37Z,12,True,1
30,1WPFLWEVGAI,UCPse57euDRWsJP-jpDHRvWw,facts_matter,"""According to [1], ChatGPT has the potential to automate select tasks in various Wall Street industries, such as trading and investment banking, which could lead to job displacement for knowledge workers. Meanwhile, [2] suggests that ChatGPT may affect jobs in advertising, content creation, copywriting, copy editing, and journalism. As an AI technology, ChatGPT is inherently trained to perform certain tasks, which could make it more efficient than human workers in these areas.""  Of course, a human will have to do the editing to add sensationalism and exaggeration to the ""news"" in order to maintain ad revenue.","""According to [1], ChatGPT has the potential to automate select tasks in various Wall Street industries, such as trading and investment banking, which could lead to job displacement for knowledge workers. Meanwhile, [2] suggests that ChatGPT may affect jobs in advertising, content creation, copywriting, copy editing, and journalism. As an AI technology, ChatGPT is inherently trained to perform certain tasks, which could make it more efficient than human workers in these areas.""  Of course, a human will have to do the editing to add sensationalism and exaggeration to the ""news"" in order to maintain ad revenue.",2023-04-29T15:41:21Z,2023-04-29T20:13:11Z,0,True,1
31,1WPFLWEVGAI,UCqKvaBn13vO4WlC_lCMIA2w,J BLAST,It's kinda funny the jobs people been saying for years that will be done by a computer are the most safe from the computer and the ones that use to say it can never take my job are the ones that are most at risk,It's kinda funny the jobs people been saying for years that will be done by a computer are the most safe from the computer and the ones that use to say it can never take my job are the ones that are most at risk,2023-04-29T15:24:41Z,2023-04-29T15:24:41Z,0,True,0
32,1WPFLWEVGAI,UC8b4UNhIxF0F6Jf5evEjI8Q,Wooster,Lawyers will benefit hugely.,Lawyers will benefit hugely.,2023-04-29T15:19:15Z,2023-04-29T15:19:15Z,0,True,0
