,Unnamed: 0,videoId,authorChannelId,authorDisplayName,textDisplay,textOriginal,publishedAt,updatedAt,likeCount,canReply,totalReplyCount
0,0,QhFMDUH-Le0,UCfeMEuhdUtxtaUMNSvxq_Xg,Frying Pan,5,5,2023-04-11T14:19:48Z,2023-04-11T14:19:48Z,70,True,8
1,1,QhFMDUH-Le0,UCcBeGAeFiZMUXp3dCr-rmIg,Joe Lachiana,I'm with ya homey,I'm with ya homey,2023-04-29T17:16:56Z,2023-04-29T17:16:56Z,0,True,0
2,2,QhFMDUH-Le0,UCfT3W4NC5JXMXTI-E9KokiQ,Trinayan Gogoi,"Ofcourse pan, i am super chill.
After one bachalor degree , 
2 masters degree (one in general CS and one in data science). 
Didn't got any development jobs..
 took a job as a teacher in a school teaching 13
 year olds C++. 
After some years finally was able to land a job handling model test cases job for 70% of my teaching salery. 
Still took it cz I thought its my first step on the industry with the big bucks.
Lost that job after a year due to covid.
Wasted a year at home. Didn't got any jobs after tens on interviews. 
Now i am a cashier/handler at my uncle's grocery shop. 
Been 2 years like that...
I think I will chill my life away.","Ofcourse pan, i am super chill.
After one bachalor degree , 
2 masters degree (one in general CS and one in data science). 
Didn't got any development jobs..
 took a job as a teacher in a school teaching 13
 year olds C++. 
After some years finally was able to land a job handling model test cases job for 70% of my teaching salery. 
Still took it cz I thought its my first step on the industry with the big bucks.
Lost that job after a year due to covid.
Wasted a year at home. Didn't got any jobs after tens on interviews. 
Now i am a cashier/handler at my uncle's grocery shop. 
Been 2 years like that...
I think I will chill my life away.",2023-04-28T09:17:27Z,2023-04-28T09:17:27Z,0,True,3
3,3,QhFMDUH-Le0,UCoF3rllBaEt5gosuQwrhTsQ,Lakzefar,"Fortunately, ChatGPT sucks at math, so no worries there.","Fortunately, ChatGPT sucks at math, so no worries there.",2023-04-26T18:01:18Z,2023-04-26T18:01:18Z,0,True,0
4,4,QhFMDUH-Le0,UCf7RX-C7y4xPI7qrsj7npAg,mila kohen,https://www.youtube.com/watch?v=nurLn52VwKU,https://www.youtube.com/watch?v=nurLn52VwKU,2023-04-26T14:27:39Z,2023-04-26T14:27:39Z,0,True,0
5,5,QhFMDUH-Le0,UC4beyFD2g3HByLdSy0DzDUA,Almighty Sun,"@Frying Pan
hi, why i can't install NPM when i try do it. task ask me password i tryed wrote NPM one time code but he dont work?
Its some bug or what?","@Frying Pan
hi, why i can't install NPM when i try do it. task ask me password i tryed wrote NPM one time code but he dont work?
Its some bug or what?",2023-04-23T21:06:36Z,2023-04-23T21:06:36Z,0,True,0
6,6,QhFMDUH-Le0,UC5aTy0JlRt-AwklGg__n2Iw,Umair,"Beijing 
 
Freshman Year of MSCS this year","Beijing 
 
Freshman Year of MSCS this year",2023-04-18T10:51:54Z,2023-04-18T10:51:54Z,0,True,0
7,7,QhFMDUH-Le0,UCvQTm8OwpDKLE_I-xPl6xSQ,vulnerable porbeagle,Ai can't take influencers job youtubers like Flying Pan and Instagrammers.,Ai can't take influencers job youtubers like Flying Pan and Instagrammers.,2023-04-18T07:53:46Z,2023-04-18T07:53:46Z,0,True,0
8,8,QhFMDUH-Le0,UCu-sY7Y_fE_RBFviddjtI2w,Data Universes,Music haram,Music haram,2023-04-17T21:43:23Z,2023-04-17T21:43:23Z,0,True,0
9,9,QhFMDUH-Le0,UCuaOxuWATfQPVhhlhH-mM7Q,Jeff Peng,"Here's why I think chatGPT still can't take over your job yet, your company needs to be willing to feed in the entire existing codebase to chatgpt. Otherwise, how can chatgpt make modifications to the existing code?","Here's why I think chatGPT still can't take over your job yet, your company needs to be willing to feed in the entire existing codebase to chatgpt. Otherwise, how can chatgpt make modifications to the existing code?",2023-04-17T07:22:05Z,2023-04-17T07:22:57Z,1,True,0
10,10,QhFMDUH-Le0,UC3pp4ZIMj9YxygpLQE9r_fQ,Daniel D,"2019: Learn to code, 2023: Learn to plumb","2019: Learn to code, 2023: Learn to plumb",2023-04-16T15:05:37Z,2023-04-16T15:05:37Z,2,True,0
11,11,QhFMDUH-Le0,UCpnufvPm0HkKtrRssa5oOEQ,opelfahrer91,I worry more about the usage of AI/GPT for cyber attacks than about it replacing our jobs. It'll be an arms race between AI based cyber attackers and defenders and social engineering will be raised onto a whole new level. Even techsavy people will have a hard time to distinguish between malicious fakes and real people,I worry more about the usage of AI/GPT for cyber attacks than about it replacing our jobs. It'll be an arms race between AI based cyber attackers and defenders and social engineering will be raised onto a whole new level. Even techsavy people will have a hard time to distinguish between malicious fakes and real people,2023-04-16T08:33:37Z,2023-04-16T08:33:37Z,0,True,0
12,12,QhFMDUH-Le0,UCRJhHwjcNXeje_JPZG63Iwg,Jennifer Tang,I have been following your channel for a year. Nice content as always. Stay Strong dude.,I have been following your channel for a year. Nice content as always. Stay Strong dude.,2023-04-16T06:54:29Z,2023-04-16T06:55:26Z,1,True,0
13,13,QhFMDUH-Le0,UCkd7BCQVcEFG3WGNTKGxtSQ,Brain4821,congrats on graduating! I'm just starting my cs degree this fall 🥲,congrats on graduating! I'm just starting my cs degree this fall 🥲,2023-04-15T23:10:50Z,2023-04-15T23:10:50Z,0,True,0
14,14,QhFMDUH-Le0,UCFZvw9_eTysww1vUqxczoZA,TGX_NOOK,yall worriying about the jobs it will take im out here using it on my benchmarks for school and every thing in school,yall worriying about the jobs it will take im out here using it on my benchmarks for school and every thing in school,2023-04-14T20:40:15Z,2023-04-14T20:40:15Z,0,True,0
