,videoId,authorChannelId,authorDisplayName,textDisplay,textOriginal,publishedAt,updatedAt,likeCount,canReply,totalReplyCount
0,TsqBucY6KB8,UCRDeVysikyX4GifDLObpMpw,Sanam Rajput,i would say that even though AI might take jobs from some. it will create new opportunities well. Adaptation and improvising is the key. #crypto #pumalabs #forsagenfts #nfts #busd,i would say that even though AI might take jobs from some. it will create new opportunities well. Adaptation and improvising is the key. #crypto #pumalabs #forsagenfts #nfts #busd,2023-04-18T14:58:00Z,2023-04-18T14:58:00Z,0,True,1
1,TsqBucY6KB8,UCcG_gRnfag2sKpWuHUyqTqQ,Jaberbenn,Can automation in the programming industry lead to drastically increased competition and decreased salary ?,Can automation in the programming industry lead to drastically increased competition and decreased salary ?,2023-04-16T20:02:15Z,2023-04-16T20:02:15Z,0,True,0
2,TsqBucY6KB8,UCS2D5OlgUhWUx-ao8xZOtBQ,Abdo Kadfi,"Security: Forsage is based on blockchain technology, which is an advanced and secure technology that uses strong encryption to keep data and transactions secure.  The data in the smart contract cannot be forged or modified, making it reliable and safe to share.

#crypto #forsage #busd #forsagenft #pumalabs","Security: Forsage is based on blockchain technology, which is an advanced and secure technology that uses strong encryption to keep data and transactions secure.  The data in the smart contract cannot be forged or modified, making it reliable and safe to share.

#crypto #forsage #busd #forsagenft #pumalabs",2023-04-14T09:49:30Z,2023-04-14T09:49:30Z,0,True,1
3,TsqBucY6KB8,UCG-6zi2Yu47ScYZiS8R52lw,12GaugeMage,"Power WITH Perception. A shift to the type of work I like (not Mundane)...creative work requiring critical, unconventional thought. So remember your job posting long ago...I was in the running till I said I programmed  chatbots and then ...nope. Does this change things 😂 (jk)","Power WITH Perception. A shift to the type of work I like (not Mundane)...creative work requiring critical, unconventional thought. So remember your job posting long ago...I was in the running till I said I programmed  chatbots and then ...nope. Does this change things 😂 (jk)",2023-04-13T19:44:27Z,2023-04-13T19:46:49Z,0,True,1
4,TsqBucY6KB8,UCH9VMsOsGkcNWWNCbPxiphA,Remington tufflips,I think most People didn't know that ATM  is an A.I,I think most People didn't know that ATM  is an A.I,2023-04-09T12:36:56Z,2023-04-09T12:36:56Z,0,True,1
5,TsqBucY6KB8,UCsA-gVlIt-J5QoYu2KCCs3Q,Diandra Pilov,AI has the capacity to do that but one should try to make money out of it instead. Online money is the way. Like i work on forsage and the returns are so good. Totally worth it. #crypto #forsagenfts #pumalabs #busd #forsage,AI has the capacity to do that but one should try to make money out of it instead. Online money is the way. Like i work on forsage and the returns are so good. Totally worth it. #crypto #forsagenfts #pumalabs #busd #forsage,2023-04-07T21:49:10Z,2023-04-07T21:49:10Z,0,True,1
6,TsqBucY6KB8,UCS2D5OlgUhWUx-ao8xZOtBQ,Abdo Kadfi,"Forsage relies on encrypted smart contract technology, which ensures that transactions are secure and not tampered with.  In addition, all data and funds are stored in the user's encrypted wallet, which ensures that no unauthorized access is made to the funds.
#crypto #forsage #busd #forsagenft #pumalabs","Forsage relies on encrypted smart contract technology, which ensures that transactions are secure and not tampered with.  In addition, all data and funds are stored in the user's encrypted wallet, which ensures that no unauthorized access is made to the funds.
#crypto #forsage #busd #forsagenft #pumalabs",2023-04-03T03:48:38Z,2023-04-03T03:48:38Z,0,True,0
7,TsqBucY6KB8,UCGiCv1OOVLMyFUBD01pdUVQ,Eric Chips,"ChatGPT won't take your job; it'll STEAL it and laugh at your human tears. ""Hey, ChatGPT, improve my writing."" (This is real, BTW): ""ChatGPT is a thief and a liar. It will steal your job and laugh at your human tears."" 😂","ChatGPT won't take your job; it'll STEAL it and laugh at your human tears. ""Hey, ChatGPT, improve my writing."" (This is real, BTW): ""ChatGPT is a thief and a liar. It will steal your job and laugh at your human tears."" 😂",2023-04-01T09:55:49Z,2023-04-01T09:55:49Z,0,True,0
8,TsqBucY6KB8,UCpj4bZCtxCxfPj3fAgDdIVw,s3lfFish,everyone will become a manager ? that sounds horrible.,everyone will become a manager ? that sounds horrible.,2023-03-29T19:32:12Z,2023-03-29T19:32:12Z,0,True,2
9,TsqBucY6KB8,UCO9-jXcwuixbgkKOddwiv0A,Incognito12000,Increased worker efficiency means smaller workforce. Lots and lots of jobs will be lost. We’ll be no more a manager than the guy who stares at security monitors for minimum wage.,Increased worker efficiency means smaller workforce. Lots and lots of jobs will be lost. We’ll be no more a manager than the guy who stares at security monitors for minimum wage.,2023-03-28T22:08:39Z,2023-03-28T22:08:39Z,0,True,1
